"OBJECTID","Eradication ID","Common Name","Scientific Name","Type (Animal)","Year of Introduction","Data Quality","Eradication Start Date","Eradication End Date","Status (Eradication)","Type (Eradication)","Primary Eradication Method","Secondary Eradication Method","Tertiary Eradication Method","Primary Baiting Method","Secondary Baiting Method","Primary Toxicant","Secondary Toxicant","Contact Name","Contact Organization","Organization_Website","Island Code","Island Name","Region","Country","Archipelago","Latitude","Longitude","Area (sq km)","Human Population"
"2","4","Brown / Norway Rat","Rattus norvegicus","Rodent","1889","Good","1991","1992","Successful","Whole Island","Toxicant","NA","NA","Bait Piles","Hand Broadcast","Warfarin","NA","null","null","null","242232","Ailsa Craig","Atlantic Ocean - North","United Kingdom","Scotland Islands","55.2520318774","-5.11666762802","1.00515021978","None"
"5","7","Polynesian Rat","Rattus exulans","Rodent","null","Good","1993","1993","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Bait Station","Brodifacoum","Bromadiolone","Veitch; C.R.","NZ Dept. of Conservation","null","26860","Tiritiri Matangi","Pacific Ocean - South West","New Zealand","Hauraki Gulf","-36.6008438792","174.89002529","2.21497151495","None"
"6","8","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Poor","1988","1988","Unknown","Whole Island","Toxicant","NA","NA","Unknown","NA","Unknown","NA","Broome; Keith","NZ Dept. of Conservation","null","26852","Motuihe","Pacific Ocean - South West","New Zealand","Hauraki Gulf","-36.812403102","174.94618544","1.82329089074","None"
"8","12","Black Rat","Rattus rattus","Rodent","null","Satisfactory","2004","2004","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","Coumatetralyl","Carrion; Victor","Galapagos National Park Service","null","362253","Marielas Sur","Pacific Ocean - North East","Ecuador","Galapagos Islands","-0.599271767236","-91.0905595861","0.0124351989285","None"
"9","13","Black Rat","Rattus rattus","Rodent","1600","Satisfactory","null","2002","Failed","Whole Island","Toxicant","Trapping","NA","Bait Station","NA","Brodifacoum","NA","null","null","null","356542","Lobos","Pacific Ocean - North East","Ecuador","Galapagos Islands","-0.856468882571","-89.5661965914","0.0733232274028","None"
"10","14","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Good","1995","1996","Failed","Whole Island","Toxicant","Trapping","NA","Bait Station","Hand Broadcast","Difenacoum","Brodifacoum","null","null","null","19647","Fregate","Indian Ocean - West","Seychelles","Seychelles","-4.5854367262","55.9415527","2.0010852499","101 - 1000"
"11","15","Black Rat","Rattus rattus","Rodent","null","Satisfactory","1994","1996","Successful (Reinvaded)","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Bait Station","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","26953","Motutapere","Pacific Ocean - South West","New Zealand","Coromandel Harbor","-36.7796908943","175.429072034","0.498060118495","11 - 100"
"12","16","House Mouse","Mus musculus","Rodent","null","Satisfactory","1994","1994","Successful","Whole Island","Toxicant","NA","NA","Aerial Broadcast","Bait Station","Brodifacoum","NA","Broome; Keith","NZ Dept. of Conservation","null","26953","Motutapere","Pacific Ocean - South West","New Zealand","Coromandel Harbor","-36.7796908943","175.429072034","0.498060118495","11 - 100"
"13","19","Black Rat","Rattus rattus","Rodent","null","Satisfactory","1990","1990","Failed","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Flocoumafen","NA","Broome; Keith","NZ Dept. of Conservation","null","26761","Wood","Pacific Ocean - South West","New Zealand","Great Barrier Islands","-36.1522803705","175.3340589","0.014612137007","None"
"14","20","Black Rat","Rattus rattus","Rodent","null","Satisfactory","1990","1990","Failed","Whole Island","Toxicant","NA","NA","Hand Broadcast","NA","Flocoumafen","NA","Taylor; G.","null","null","26762","Oyster Island","Pacific Ocean - South West","New Zealand","Great Barrier Islands","-36.1420799975","175.32521542","0.00336213616111","None"
"15","22","Black Rat","Rattus rattus","Rodent","1978","Poor","1986","1988","Failed","Whole Island","Toxicant","Burrow Fumigation","NA","Unknown","NA","Brodifacoum","Chlorophacinone","null","null","null","364591","Teuaua (Ua-Uka)","Pacific Ocean - South East","French Polynesia","Marquesas","-8.95421019589","-139.593122202","0.052543486198","None"
"16","23","Polynesian Rat","Rattus exulans","Rodent","null","Good","1986","1988","Failed","Whole Island","Toxicant","NA","NA","Unknown","NA","Brodifacoum","Chlorophacinone","null","null","null","364591","Teuaua (Ua-Uka)","Pacific Ocean - South East","French Polynesia","Marquesas","-8.95421019589","-139.593122202","0.052543486198","None"
"22","31","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Good","2001","2001","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Poncet; S.","Falklands Conservation","null","388955","Bottom","Atlantic Ocean - South","Falkland Islands (Malvinas)","Falkland Islands (Blanco Bay)","-51.6734996842","-57.72764503","0.0976883963799","None"
"23","32","Brown / Norway Rat","Rattus norvegicus","Rodent","null","Good","2001","2001","Successful","Whole Island","Toxicant","NA","NA","Bait Station","NA","Brodifacoum","NA","Poncet; S.","Falklands Conservation","null","388956","Top","Atlantic Ocean - South","Falkland Islands (Malvinas)","Falkland Islands (Blanco Bay)","-51.6723869445","-57.74516621","0.155082523324","None"
